cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
285,51.3,51.3,51.3,51.3,100.0
286,51.1,51.2,51.1,51.2,99.8046875
287,51.1,51.2,51.1,51.2,99.8046875
288,51.1,51.2,51.1,51.2,99.8046875
289,51.2,51.2,51.2,51.2,100.0
290,51.1,51.2,51.1,51.2,99.8046875
291,51.1,51.2,51.1,51.2,99.8046875
292,51.1,51.2,51.1,51.2,99.8046875
293,51.1,51.0,51.1,51.0,100.19607843137254
294,50.8,50.9,50.8,50.9,99.80353634577604
295,50.8,51.0,50.8,51.0,99.60784313725489
296,51.1,51.2,51.1,51.2,99.8046875
297,51.1,51.1,51.1,51.1,100.0
298,51.1,51.1,51.1,51.1,100.0
299,51.0,51.1,51.0,51.1,99.80430528375733
300,51.1,51.1,51.1,51.1,100.0
301,51.1,51.1,51.1,51.1,100.0
302,51.0,51.1,51.0,51.1,99.80430528375733
303,51.0,51.1,51.0,51.1,99.80430528375733
304,51.1,51.1,51.1,51.1,100.0
305,51.1,51.2,51.1,51.2,99.8046875
306,51.4,51.5,51.4,51.5,99.80582524271846
307,51.2,51.2,51.2,51.2,100.0
308,51.1,51.0,51.1,51.0,100.19607843137254
309,50.9,51.0,50.9,51.0,99.80392156862746
310,51.0,51.0,51.0,51.0,100.0
311,51.0,51.0,51.0,51.0,100.0
312,51.0,51.0,51.0,51.0,100.0
313,51.0,51.1,51.0,51.1,99.80430528375733
314,51.0,51.0,51.0,51.0,100.0
315,51.0,51.0,51.0,51.0,100.0
316,50.9,51.0,50.9,51.0,99.80392156862746
317,51.0,51.0,51.0,51.0,100.0
318,50.9,51.0,50.9,51.0,99.80392156862746
319,50.9,51.0,50.9,51.0,99.80392156862746
320,51.0,51.0,51.0,51.0,100.0
321,51.0,51.0,51.0,51.0,100.0
322,51.0,51.0,51.0,51.0,100.0
323,51.0,51.0,51.0,51.0,100.0
324,50.9,51.0,50.9,51.0,99.80392156862746
325,50.9,51.0,50.9,51.0,99.80392156862746
326,51.0,51.6,51.0,51.6,98.83720930232558
327,51.5,51.0,51.5,51.0,100.98039215686273
328,51.0,51.0,51.0,51.0,100.0
329,51.0,51.0,51.0,51.0,100.0
330,51.0,51.0,51.0,51.0,100.0
331,51.0,51.0,51.0,51.0,100.0
332,50.9,51.0,50.9,51.0,99.80392156862746
333,50.9,51.0,50.9,51.0,99.80392156862746
334,51.0,51.0,51.0,51.0,100.0
335,51.0,51.1,51.0,51.1,99.80430528375733
336,51.0,51.0,51.0,51.0,100.0
337,51.1,51.2,51.1,51.2,99.8046875
338,51.1,51.1,51.1,51.1,100.0
339,51.1,51.1,51.1,51.1,100.0
340,51.1,51.1,51.1,51.1,100.0
341,51.0,51.1,51.0,51.1,99.80430528375733
342,51.1,51.1,51.1,51.1,100.0
343,51.1,51.1,51.1,51.1,100.0
344,51.1,51.1,51.1,51.1,100.0
345,51.1,51.1,51.1,51.1,100.0
346,51.1,51.2,51.1,51.2,99.8046875
347,51.1,51.5,51.1,51.5,99.22330097087378
348,51.5,51.2,51.5,51.2,100.5859375
349,51.2,51.2,51.2,51.2,100.0
350,51.3,51.3,51.3,51.3,100.0
351,51.3,51.3,51.3,51.3,100.0
352,51.4,51.4,51.4,51.4,100.0
353,51.4,51.4,51.4,51.4,100.0
354,51.5,51.5,51.5,51.5,100.0
355,51.5,51.5,51.5,51.5,100.0
356,51.5,51.6,51.5,51.6,99.8062015503876
357,51.6,51.7,51.6,51.7,99.80657640232108
358,52.0,52.0,52.0,52.0,100.0
359,51.9,51.8,51.9,51.8,100.1930501930502
360,51.8,51.9,51.8,51.9,99.8073217726397
361,51.9,51.9,51.9,51.9,100.0
362,52.0,52.0,52.0,52.0,100.0
363,52.0,52.0,52.0,52.0,100.0
364,52.1,52.1,52.1,52.1,100.0
365,52.2,52.2,52.2,52.2,100.0
366,52.3,52.3,52.3,52.3,100.0
367,52.4,52.4,52.4,52.4,100.0
368,52.5,52.5,52.5,52.5,100.0
369,52.6,52.6,52.6,52.6,100.0
370,52.6,52.7,52.6,52.7,99.81024667931689
371,52.7,52.8,52.7,52.8,99.81060606060606
372,52.8,52.8,52.8,52.8,100.0
373,52.9,52.9,52.9,52.9,100.0
374,52.9,53.0,52.9,53.0,99.81132075471699
375,53.0,53.0,53.0,53.0,100.0
376,53.1,53.1,53.1,53.1,100.0
377,53.1,53.1,53.1,53.1,100.0
378,53.2,53.2,53.2,53.2,100.0
379,53.3,53.4,53.3,53.4,99.812734082397
380,53.4,53.4,53.4,53.4,100.0
381,53.4,53.5,53.4,53.5,99.81308411214953
382,53.5,53.5,53.5,53.5,100.0
383,53.5,53.5,53.5,53.5,100.0
384,53.5,53.5,53.5,53.5,100.0
385,53.6,53.6,53.6,53.6,100.0
386,53.6,53.7,53.6,53.7,99.81378026070763
387,53.7,53.7,53.7,53.7,100.0
388,53.7,53.7,53.7,53.7,100.0
389,53.7,53.8,53.7,53.8,99.81412639405207
390,53.8,53.8,53.8,53.8,100.0
391,53.8,53.8,53.8,53.8,100.0
392,53.8,53.8,53.8,53.8,100.0
393,53.8,53.8,53.8,53.8,100.0
394,53.8,53.9,53.8,53.9,99.81447124304268
395,53.9,53.9,53.9,53.9,100.0
396,53.9,53.9,53.9,53.9,100.0
397,53.9,54.0,53.9,54.0,99.81481481481481
398,54.0,54.0,54.0,54.0,100.0
399,54.0,54.5,54.0,54.5,99.08256880733946
400,54.5,54.1,54.5,54.1,100.73937153419593
401,54.1,54.1,54.1,54.1,100.0
