name,E_scf_Ha,G_Ha,NImag,S2,normal,gate
g16-1047,None,None,0,None,True,OK
g16-1048,None,None,0,None,True,OK
g16-1049,None,None,0,None,True,OK
g16-1050,None,None,0,None,False,not-normal
g16-1051,None,None,0,None,True,OK
g16-1052,None,None,0,None,True,OK
g16-1053,None,None,0,None,True,OK
g16-1054,None,None,0,None,False,not-normal
g16-1055,None,None,0,None,False,not-normal
g16-1056,None,None,0,None,True,OK
g16-1057,None,None,0,None,True,OK
g16-1058,None,None,0,None,True,OK
g16-1059,None,None,0,None,True,OK
g16-1060,None,None,0,None,True,OK
g16-1061,None,None,0,None,True,OK
g16-1062,None,None,0,None,True,OK
g16-1063,None,None,0,None,True,OK
g16-1064,None,None,0,None,True,OK
g16-1065,None,None,0,None,True,OK
g16-1066,None,None,0,None,True,OK
g16-1067,None,None,0,None,True,OK
g16-1068,None,None,0,None,False,not-normal
g16-1069,None,None,0,None,True,OK
g16-1070,None,None,0,None,True,OK
g16-1071,None,None,0,None,True,OK
g16-1072,None,None,0,None,True,OK
g16-1073,None,None,0,None,True,OK
g16-1074,None,None,0,None,False,not-normal
g16-1075,None,None,0,None,True,OK
g16-1076,None,None,0,None,False,not-normal
g16-1077,None,None,0,None,False,not-normal
g16-1078,None,None,0,None,True,OK
g16-1079,None,None,0,None,True,OK
g16-1080,None,None,0,None,True,OK
g16-1081,None,None,0,None,True,OK
g16-1082,None,None,0,None,True,OK
g16-1083,None,None,0,None,True,OK
g16-1084,None,None,0,None,False,not-normal
g16-1085,None,None,0,None,True,OK
g16-1086,None,None,0,None,True,OK
g16-1087,None,None,0,None,True,OK
g16-1088,None,None,0,None,True,OK
g16-1089,None,None,0,None,True,OK
g16-1090,None,None,0,None,True,OK
g16-1091,None,None,0,None,True,OK
g16-1092,None,None,0,None,True,OK
g16-1093,None,None,0,None,True,OK
g16-1094,None,None,0,None,True,OK
g16-1095,None,None,0,None,True,OK
g16-1096,None,None,0,None,True,OK
g16-1097,None,None,0,None,True,OK
g16-1098,None,None,0,None,True,OK
g16-1099,None,None,0,None,True,OK
g16-1100,None,None,0,None,True,OK
g16-1101,None,None,0,None,True,OK
g16-1102,None,None,0,None,True,OK
g16-1103,None,None,0,None,True,OK
g16-1104,None,None,0,None,True,OK
g16-1105,None,None,0,None,True,OK
g16-1106,None,None,0,None,True,OK
g16-1107,None,None,0,None,True,OK
g16-1108,None,None,0,None,True,OK
g16-1109,None,None,0,None,False,not-normal
g16-1110,None,None,0,None,True,OK
g16-1112,None,None,0,None,True,OK
g16-1113,None,None,0,None,False,not-normal
g16-1114,None,None,0,None,False,not-normal
g16-1115,None,None,0,None,True,OK
g16-1116,None,None,0,None,True,OK
g16-1117,None,None,0,None,True,OK
g16-1118,None,None,0,None,True,OK
g16-1119,None,None,0,None,True,OK
g16-1120,None,None,0,None,True,OK
g16-1121,None,None,0,None,True,OK
g16-1122,None,None,0,None,False,not-normal
g16-1123,None,None,0,None,True,OK
g16-1124,None,None,0,None,True,OK
g16-1125,None,None,0,None,True,OK
g16-1126,None,None,0,None,False,not-normal
g16-1127,None,None,0,None,False,not-normal
g16-1128,None,None,0,None,False,not-normal
g16-1129,None,None,0,None,False,not-normal
g16-1130,None,None,0,None,False,not-normal
g16-1131,None,None,0,None,True,OK
g16-1132,None,None,0,None,False,not-normal
g16-1133,None,None,0,None,False,not-normal
g16-1134,None,None,0,None,False,not-normal
g16-1135,None,None,0,None,False,not-normal
g16-1136,None,None,0,None,True,OK
g16-1137,None,None,0,None,True,OK
g16-1138,None,None,0,None,True,OK
g16-1139,None,None,0,None,True,OK
g16-1140,None,None,0,None,True,OK
g16-1141,None,None,0,None,True,OK
g16-1142,None,None,0,None,True,OK
g16-1143,None,None,0,None,True,OK
g16-1144,None,None,0,None,True,OK
g16-1145,None,None,0,None,True,OK
g16-1146,None,None,0,None,True,OK
g16-1147,None,None,0,None,True,OK
g16-1148,None,None,0,None,True,OK
g16-1149,None,None,0,None,True,OK
g16-990,None,None,0,None,False,not-normal
g16-992,None,None,0,None,False,not-normal
g16-994,None,None,0,None,True,OK
g16-995,None,None,0,None,True,OK
g16-996,None,None,0,None,True,OK
g16-997,None,None,0,None,False,not-normal
g16-998,None,None,0,None,True,OK
g16-999,None,None,0,None,True,OK
polyether_ramangas,-502.265301108,-502.074505,0,None,True,OK
polyether_ramanopt,-502.277139778,-502.087387,0,None,True,OK
