step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
7300,7.300,291.6,-124888.023,4.469,4.849,2,0,nan
7350,7.350,277.3,-124888.195,4.496,4.879,2,0,nan
7400,7.400,266.6,-124888.023,4.428,4.749,2,0,nan
7450,7.450,290.9,-124888.336,4.353,4.689,2,0,nan
7500,7.500,297.2,-124888.297,4.465,4.833,2,0,nan
7550,7.550,254.6,-124887.734,4.381,4.744,2,0,nan
7600,7.600,283.4,-124887.594,4.319,4.777,2,0,nan
7650,7.650,300.3,-124887.977,4.408,4.892,2,0,nan
7700,7.700,317.2,-124888.477,4.403,4.954,2,0,nan
7750,7.750,330.4,-124888.484,4.438,4.992,2,0,nan
7800,7.800,340.7,-124888.367,4.575,5.150,2,0,nan
7850,7.850,316.2,-124888.375,4.532,5.127,2,0,nan
7900,7.900,327.8,-124888.289,4.459,5.006,2,0,nan
7950,7.950,303.6,-124888.094,4.571,5.142,2,0,nan
8000,8.000,319.8,-124888.195,4.518,5.104,2,0,nan
8050,8.050,300.2,-124887.547,4.506,5.048,2,0,nan
8100,8.100,346.2,-124888.109,4.384,4.901,2,0,nan
8150,8.150,274.9,-124887.422,4.389,4.901,2,0,nan
8200,8.200,295.7,-124888.078,4.212,4.784,2,0,nan
8250,8.250,277.9,-124887.844,4.188,4.801,2,0,nan
8300,8.300,294.6,-124888.023,4.239,4.841,2,0,nan
8350,8.350,276.4,-124888.008,4.185,4.883,2,0,nan
8400,8.400,280.1,-124887.695,4.298,4.987,2,0,nan
8450,8.450,338.4,-124888.508,4.501,5.192,2,0,nan
8500,8.500,264.0,-124887.211,4.396,5.112,2,0,nan
8550,8.550,309.4,-124887.508,4.461,5.115,2,0,nan
8600,8.600,303.0,-124887.625,4.342,4.996,2,0,nan
8650,8.650,329.8,-124887.766,4.471,5.071,2,0,nan
8700,8.700,295.4,-124887.562,4.626,5.169,2,0,nan
8750,8.750,318.2,-124887.664,4.553,5.118,2,0,nan
8800,8.800,315.2,-124887.742,4.611,5.164,2,0,nan
8850,8.850,289.7,-124887.328,4.674,5.239,2,0,nan
8900,8.900,309.7,-124887.625,4.601,5.167,2,0,nan
8950,8.950,292.7,-124887.547,4.737,5.242,2,0,nan
9000,9.000,300.6,-124887.812,4.675,5.159,2,0,nan
9050,9.050,310.0,-124887.914,4.681,5.091,2,0,nan
9100,9.100,304.0,-124888.055,4.719,5.073,2,0,nan
9150,9.150,293.6,-124887.945,4.721,5.066,2,0,nan
9200,9.200,308.4,-124888.016,4.909,5.211,2,0,nan
9250,9.250,298.4,-124887.844,4.651,4.982,2,0,nan
9300,9.300,316.1,-124887.992,4.728,5.056,2,0,nan
9350,9.350,307.0,-124887.641,4.714,5.031,2,0,nan
9400,9.400,341.2,-124887.828,4.698,4.948,2,0,nan
9450,9.450,304.8,-124887.703,4.674,4.861,2,0,nan
9500,9.500,275.8,-124887.250,4.570,4.750,2,0,nan
9550,9.550,314.4,-124887.656,4.609,4.752,2,0,nan
9600,9.600,281.4,-124887.133,4.361,4.512,2,0,nan
9650,9.650,320.5,-124887.578,4.419,4.562,2,0,nan
9700,9.700,314.6,-124888.016,4.283,4.403,2,0,nan
9750,9.750,294.2,-124887.953,4.158,4.286,2,0,nan
9800,9.800,297.3,-124888.031,4.122,4.198,2,0,nan
9850,9.850,272.2,-124888.117,4.016,4.080,2,0,nan
9900,9.900,275.8,-124888.086,3.922,3.981,2,0,nan
9950,9.950,251.0,-124887.727,3.870,3.929,2,0,nan
10000,10.000,278.9,-124887.867,3.716,3.770,2,0,nan
10000,10.000,278.9,-124887.867,3.716,3.770,2,0,nan
10050,10.050,326.6,-124888.305,3.813,3.850,2,0,nan
10100,10.100,316.5,-124888.008,3.787,3.830,2,0,nan
10150,10.150,278.9,-124887.469,3.725,3.751,2,0,nan
10200,10.200,294.7,-124887.805,3.784,3.811,2,0,nan
10250,10.250,280.8,-124887.477,3.734,3.780,2,0,nan
10300,10.300,290.3,-124887.531,3.817,3.875,2,0,nan
10350,10.350,319.8,-124887.992,3.938,4.025,2,0,nan
10400,10.400,311.5,-124887.703,3.842,3.928,2,0,nan
10450,10.450,329.1,-124888.039,3.995,4.061,2,0,nan
10500,10.500,335.2,-124887.828,4.010,4.064,2,0,nan
10550,10.550,304.0,-124887.805,3.941,4.009,2,0,nan
10600,10.600,317.9,-124888.055,4.179,4.247,2,0,nan
10650,10.650,318.1,-124888.016,4.010,4.090,2,0,nan
10700,10.700,322.2,-124888.031,4.068,4.217,2,0,nan
10750,10.750,302.0,-124887.875,4.120,4.308,2,0,nan
10800,10.800,327.7,-124888.180,4.044,4.247,2,0,nan
10850,10.850,321.9,-124887.742,4.080,4.276,2,0,nan
10900,10.900,301.7,-124887.711,3.990,4.183,2,0,nan
10950,10.950,308.7,-124888.055,3.939,4.158,2,0,nan
11000,11.000,318.6,-124887.617,3.894,4.164,2,0,nan
11050,11.050,344.8,-124888.273,3.920,4.212,2,0,nan
11100,11.100,332.8,-124888.438,3.882,4.244,2,0,nan
11150,11.150,338.8,-124888.070,3.866,4.201,2,0,nan
11200,11.200,285.2,-124887.453,3.933,4.268,2,0,nan
11250,11.250,314.3,-124887.891,3.837,4.184,2,0,nan
11300,11.300,312.6,-124887.969,3.956,4.302,2,0,nan
11350,11.350,288.5,-124887.766,4.029,4.370,2,0,nan
11400,11.400,313.7,-124888.328,4.010,4.352,2,0,nan
11450,11.450,304.9,-124888.180,4.040,4.392,2,0,nan
11500,11.500,297.0,-124887.727,4.042,4.380,2,0,nan
11550,11.550,275.9,-124887.664,4.078,4.426,2,0,nan
11600,11.600,301.4,-124887.922,4.081,4.413,2,0,nan
11650,11.650,291.4,-124887.875,4.126,4.439,2,0,nan
11700,11.700,307.3,-124888.109,4.139,4.434,2,0,nan
11750,11.750,271.6,-124887.367,4.235,4.489,2,0,nan
11800,11.800,336.1,-124888.047,4.169,4.434,2,0,nan
11850,11.850,287.9,-124887.719,4.235,4.492,2,0,nan
11900,11.900,282.0,-124887.641,4.234,4.504,2,0,nan
11950,11.950,319.3,-124888.102,4.148,4.442,2,0,nan
12000,12.000,291.1,-124887.719,4.104,4.353,2,0,nan
12050,12.050,289.8,-124887.844,4.069,4.318,2,0,nan
12100,12.100,290.8,-124887.664,4.077,4.316,2,0,nan
12150,12.150,301.6,-124887.820,3.977,4.208,2,0,nan
12200,12.200,301.8,-124887.461,3.927,4.152,2,0,nan
12250,12.250,343.6,-124888.070,3.888,4.095,2,0,nan
12300,12.300,308.2,-124887.766,3.979,4.246,2,0,nan
12350,12.350,287.3,-124887.734,4.046,4.342,2,0,nan
12400,12.400,281.9,-124887.570,4.149,4.475,2,0,nan
12450,12.450,291.9,-124887.656,3.977,4.267,2,0,nan
12500,12.500,317.7,-124887.844,4.121,4.394,2,0,nan
12550,12.550,338.8,-124888.375,4.042,4.262,2,0,nan
12600,12.600,303.4,-124888.148,4.068,4.285,2,0,nan
12650,12.650,270.9,-124887.781,4.068,4.265,2,0,nan
12700,12.700,295.7,-124887.750,3.828,4.034,2,0,nan
12750,12.750,290.4,-124887.797,3.893,4.078,2,0,nan
12800,12.800,308.9,-124887.961,3.824,3.956,2,0,nan
12850,12.850,289.4,-124887.898,3.740,3.878,2,0,nan
12900,12.900,276.7,-124887.789,3.722,3.818,2,0,nan
12950,12.950,283.0,-124887.844,3.788,3.919,2,0,nan
13000,13.000,285.7,-124887.773,3.738,3.854,2,0,nan
13050,13.050,304.7,-124887.922,3.731,3.822,2,0,nan
13100,13.100,321.5,-124888.070,3.767,3.864,2,0,nan
13150,13.150,340.5,-124888.125,3.707,3.763,2,0,nan
13200,13.200,315.0,-124887.484,3.748,3.782,2,0,nan
13250,13.250,339.0,-124887.953,3.663,3.696,2,0,nan
13300,13.300,321.3,-124887.742,3.606,3.635,2,0,nan
