step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
10500,10.500,305.8,-136952.422,9.728,11.491,2,0,6.067
10550,10.550,312.6,-136952.531,9.624,11.398,2,0,6.283
10600,10.600,304.8,-136952.547,9.483,11.356,2,0,6.466
10650,10.650,315.9,-136953.141,9.303,11.260,2,0,6.716
10700,10.700,299.4,-136952.391,9.265,11.224,2,0,6.810
10750,10.750,284.0,-136952.406,9.156,11.107,2,0,7.038
10800,10.800,312.6,-136952.891,8.950,10.893,2,0,7.146
10850,10.850,304.6,-136952.125,9.119,10.981,2,0,6.800
10900,10.900,302.9,-136952.453,9.076,10.921,2,0,6.676
10950,10.950,284.1,-136951.516,9.169,10.966,2,0,6.448
11000,11.000,331.3,-136952.594,9.191,11.027,2,0,6.628
11050,11.050,304.0,-136952.281,9.015,10.942,2,0,6.784
11100,11.100,340.6,-136953.234,9.074,11.024,2,0,6.723
11150,11.150,296.5,-136952.109,8.953,10.980,2,0,6.946
11200,11.200,318.7,-136952.547,9.029,10.999,2,0,6.844
11250,11.250,326.7,-136952.969,8.927,10.990,2,0,7.010
11300,11.300,316.4,-136952.328,9.142,11.213,2,0,6.935
11350,11.350,324.6,-136952.562,9.202,11.276,2,0,7.002
11400,11.400,301.6,-136952.109,9.113,11.203,2,0,7.070
11450,11.450,318.0,-136953.109,9.262,11.290,2,0,6.895
11500,11.500,307.2,-136952.641,9.182,11.182,2,0,6.834
11550,11.550,301.0,-136952.375,9.048,11.037,2,0,6.766
11600,11.600,323.1,-136952.766,9.157,11.127,2,0,6.655
11650,11.650,298.2,-136952.031,9.097,11.064,2,0,6.613
11700,11.700,326.7,-136952.578,9.180,11.071,2,0,6.449
11750,11.750,319.6,-136952.266,9.292,11.184,2,0,6.482
11800,11.800,320.5,-136952.750,9.305,11.166,2,0,6.391
11850,11.850,334.1,-136953.125,9.282,11.068,2,0,6.406
11900,11.900,317.7,-136952.609,9.341,11.058,2,0,6.291
11950,11.950,315.8,-136952.984,9.459,11.137,2,0,6.345
12000,12.000,296.9,-136952.672,9.433,11.090,2,0,6.334
12050,12.050,326.5,-136953.344,9.611,11.262,2,0,6.356
12100,12.100,325.2,-136953.219,9.652,11.339,2,0,6.381
12150,12.150,329.9,-136953.016,9.557,11.247,2,0,6.392
12200,12.200,343.1,-136953.500,9.518,11.250,2,0,6.446
12250,12.250,332.7,-136952.641,9.413,11.268,2,0,6.580
12300,12.300,328.6,-136952.703,9.338,11.143,2,0,6.405
12350,12.350,311.9,-136952.406,9.360,11.183,2,0,6.328
12400,12.400,340.8,-136952.969,9.404,11.205,2,0,6.369
12450,12.450,319.9,-136952.609,9.399,11.149,2,0,6.336
12500,12.500,318.2,-136952.406,9.500,11.283,2,0,6.434
12550,12.550,307.3,-136952.297,9.626,11.390,2,0,6.344
12600,12.600,317.9,-136952.891,9.618,11.368,2,0,6.296
12650,12.650,320.3,-136953.094,9.562,11.320,2,0,6.331
12700,12.700,320.1,-136953.391,9.515,11.232,2,0,6.439
12750,12.750,311.8,-136952.984,9.422,11.167,2,0,6.435
12800,12.800,298.4,-136952.516,9.314,11.064,2,0,6.542
12850,12.850,298.7,-136952.547,9.338,11.020,2,0,6.497
12900,12.900,301.9,-136952.594,9.352,11.089,2,0,6.626
12950,12.950,308.4,-136952.359,9.446,11.132,2,0,6.626
13000,13.000,311.8,-136952.391,9.375,10.961,2,0,6.513
13050,13.050,318.1,-136952.938,9.422,11.016,2,0,6.479
13100,13.100,320.5,-136953.062,9.368,10.902,2,0,6.437
13150,13.150,293.8,-136952.391,9.171,10.669,2,0,6.416
13200,13.200,300.2,-136952.656,9.144,10.725,2,0,6.611
13250,13.250,289.3,-136952.672,9.190,10.658,2,0,6.381
13300,13.300,301.1,-136952.484,9.133,10.620,2,0,6.493
13350,13.350,287.7,-136952.312,9.182,10.702,2,0,6.575
13400,13.400,285.0,-136952.203,9.085,10.594,2,0,6.474
13450,13.450,298.2,-136952.453,8.912,10.486,2,0,6.630
13500,13.500,310.0,-136952.859,8.811,10.425,2,0,6.715
13550,13.550,307.1,-136952.734,8.758,10.295,2,0,6.752
13600,13.600,312.5,-136953.672,8.774,10.295,2,0,6.708
13650,13.650,319.0,-136953.969,8.726,10.274,2,0,6.769
13700,13.700,305.5,-136953.016,8.801,10.292,2,0,6.658
13750,13.750,297.3,-136952.734,8.856,10.295,2,0,6.469
13800,13.800,303.4,-136952.578,8.803,10.175,2,0,6.336
13850,13.850,302.2,-136953.016,8.841,10.150,2,0,6.364
13900,13.900,306.5,-136952.766,8.864,10.251,2,0,6.478
13950,13.950,322.0,-136953.156,8.906,10.265,2,0,6.526
14000,14.000,303.3,-136952.734,8.896,10.245,2,0,6.530
14050,14.050,297.4,-136952.891,8.882,10.296,2,0,6.691
14100,14.100,304.0,-136953.125,8.835,10.308,2,0,6.729
14150,14.150,281.3,-136953.000,8.794,10.303,2,0,6.733
14200,14.200,278.1,-136953.000,8.748,10.260,2,0,6.773
14250,14.250,292.2,-136953.359,8.746,10.215,2,0,6.731
14300,14.300,285.9,-136953.094,8.742,10.165,2,0,6.699
14350,14.350,297.9,-136953.766,8.715,10.113,2,0,6.656
14400,14.400,297.7,-136953.609,8.769,10.164,2,0,6.683
14450,14.450,275.4,-136953.531,8.685,10.121,2,0,6.721
14500,14.500,273.5,-136953.531,8.744,10.219,2,0,6.610
14550,14.550,288.5,-136953.188,8.780,10.287,2,0,6.481
14600,14.600,316.5,-136953.359,8.915,10.415,2,0,6.357
14650,14.650,290.5,-136952.859,9.068,10.579,2,0,6.301
14700,14.700,287.1,-136952.688,9.074,10.591,2,0,6.295
14750,14.750,314.0,-136953.672,9.143,10.608,2,0,6.269
14800,14.800,297.3,-136953.125,9.008,10.467,2,0,6.344
14850,14.850,324.0,-136953.688,9.022,10.450,2,0,6.326
14900,14.900,296.4,-136952.484,9.026,10.425,2,0,6.318
14950,14.950,324.2,-136953.359,8.986,10.375,2,0,6.375
15000,15.000,307.6,-136952.953,9.069,10.476,2,0,6.401
15000,15.000,307.6,-136952.953,9.069,10.476,2,0,6.401
15050,15.050,300.5,-136953.062,9.057,10.521,2,0,6.555
15100,15.100,288.6,-136953.000,9.208,10.635,2,0,6.392
15150,15.150,294.5,-136952.859,9.111,10.554,2,0,6.470
15200,15.200,311.8,-136953.391,9.156,10.530,2,0,6.414
15250,15.250,316.8,-136953.547,9.105,10.424,2,0,6.422
15300,15.300,326.2,-136953.312,9.085,10.400,2,0,6.359
15350,15.350,282.8,-136952.125,9.105,10.383,2,0,6.364
15400,15.400,294.1,-136952.922,8.964,10.288,2,0,6.581
15450,15.450,291.7,-136953.109,8.885,10.269,2,0,6.785
15500,15.500,281.9,-136952.859,8.860,10.238,2,0,6.764
15550,15.550,274.1,-136952.875,8.934,10.337,2,0,6.805
15600,15.600,284.5,-136953.016,9.087,10.492,2,0,6.645
15650,15.650,297.9,-136953.391,9.251,10.609,2,0,6.743
15700,15.700,302.1,-136953.234,9.234,10.611,2,0,6.799
15750,15.750,314.9,-136953.312,9.361,10.608,2,0,6.676
15800,15.800,287.3,-136952.844,9.394,10.592,2,0,6.523
15850,15.850,308.5,-136953.031,9.340,10.524,2,0,6.420
15900,15.900,312.1,-136953.047,9.323,10.471,2,0,6.380
15950,15.950,307.7,-136952.922,9.503,10.661,2,0,6.352
16000,16.000,291.3,-136953.047,9.488,10.662,2,0,6.455
16050,16.050,289.2,-136952.750,9.528,10.652,2,0,6.200
16100,16.100,303.9,-136952.859,9.410,10.639,2,0,6.473
16150,16.150,309.7,-136952.781,9.293,10.486,2,0,6.415
16200,16.200,331.7,-136953.234,9.210,10.402,2,0,6.448
16250,16.250,324.5,-136952.875,9.198,10.343,2,0,6.269
16300,16.300,314.9,-136952.969,9.247,10.365,2,0,6.063
16350,16.350,345.6,-136953.656,9.346,10.470,2,0,6.078
16400,16.400,299.9,-136952.391,9.424,10.574,2,0,6.060
16450,16.450,309.1,-136952.375,9.358,10.515,2,0,6.102
16500,16.500,310.1,-136952.172,9.251,10.413,2,0,6.184
16550,16.550,339.9,-136952.969,9.252,10.407,2,0,6.044
16600,16.600,299.8,-136952.141,9.304,10.533,2,0,6.154
16650,16.650,300.1,-136952.500,9.255,10.501,2,0,6.229
16700,16.700,309.8,-136952.719,9.298,10.573,2,0,6.213
16750,16.750,293.9,-136952.266,9.314,10.612,2,0,6.328
16800,16.800,307.7,-136952.672,9.285,10.540,2,0,6.313
16850,16.850,301.4,-136953.000,9.243,10.539,2,0,6.421
16900,16.900,318.9,-136953.469,9.224,10.513,2,0,6.390
16950,16.950,307.8,-136953.297,9.094,10.353,2,0,6.283
17000,17.000,316.4,-136953.125,9.176,10.453,2,0,6.291
17050,17.050,297.3,-136952.594,9.366,10.603,2,0,6.232
17100,17.100,315.0,-136953.109,9.289,10.441,2,0,6.144
17150,17.150,306.3,-136952.797,9.300,10.493,2,0,6.198
17200,17.200,295.5,-136952.359,9.218,10.420,2,0,6.213
17250,17.250,322.1,-136953.156,9.013,10.234,2,0,6.380
17300,17.300,306.2,-136952.938,8.917,10.181,2,0,6.426
17350,17.350,301.3,-136952.703,8.936,10.143,2,0,6.406
17400,17.400,293.5,-136952.656,8.700,9.954,2,0,6.596
17450,17.450,313.6,-136953.531,8.734,9.986,2,0,6.586
17500,17.500,273.0,-136952.375,8.706,10.001,2,0,6.626
17550,17.550,281.9,-136952.844,8.608,9.897,2,0,6.613
17600,17.600,289.7,-136952.875,8.734,9.994,2,0,6.711
17650,17.650,315.0,-136953.641,8.724,10.055,2,0,6.871
17700,17.700,268.8,-136952.703,8.622,9.930,2,0,6.778
17750,17.750,262.2,-136952.594,8.657,10.022,2,0,6.910
17800,17.800,277.7,-136952.484,8.572,10.009,2,0,7.028
17850,17.850,277.8,-136952.672,8.502,9.882,2,0,7.030
17900,17.900,281.7,-136953.078,8.548,9.938,2,0,7.045
17950,17.950,291.9,-136953.484,8.525,9.965,2,0,7.154
18000,18.000,291.1,-136953.438,8.600,9.968,2,0,7.068
18050,18.050,273.3,-136952.641,8.638,9.975,2,0,6.931
18100,18.100,287.4,-136952.859,8.707,10.020,2,0,7.032
18150,18.150,293.4,-136952.547,8.680,9.960,2,0,6.905
18200,18.200,294.2,-136952.969,8.710,9.926,2,0,6.890
18250,18.250,284.2,-136952.484,8.689,9.885,2,0,6.725
18300,18.300,310.1,-136952.719,8.732,9.932,2,0,6.865
18350,18.350,297.1,-136952.609,8.658,9.770,2,0,6.666
18400,18.400,300.1,-136952.641,8.522,9.663,2,0,6.880
18450,18.450,289.3,-136952.594,8.624,9.732,2,0,6.625
18500,18.500,312.9,-136952.750,8.403,9.488,2,0,6.666
18550,18.550,285.2,-136952.078,8.364,9.468,2,0,6.635
18600,18.600,331.6,-136953.391,8.385,9.469,2,0,6.684
18650,18.650,306.2,-136953.047,8.089,9.187,2,0,6.755
18700,18.700,294.6,-136952.719,8.129,9.246,2,0,6.701
18750,18.750,293.7,-136952.906,8.016,9.147,2,0,6.685
18800,18.800,287.2,-136952.938,7.825,9.045,2,0,6.961
18850,18.850,291.9,-136953.219,7.905,9.075,2,0,6.832
18900,18.900,282.1,-136953.125,7.798,9.109,2,0,7.006
18950,18.950,291.8,-136953.000,7.810,9.149,2,0,7.000
19000,19.000,307.0,-136953.016,7.789,9.150,2,0,7.044
19050,19.050,313.8,-136953.234,7.704,9.090,2,0,7.286
19100,19.100,287.4,-136952.141,7.686,9.063,2,0,7.263
19150,19.150,302.2,-136952.734,7.711,9.038,2,0,7.232
19200,19.200,301.8,-136952.656,7.752,9.112,2,0,7.237
19250,19.250,319.6,-136953.156,7.804,9.085,2,0,7.083
19300,19.300,314.5,-136952.531,7.878,9.181,2,0,7.172
19350,19.350,322.6,-136952.812,7.894,9.258,2,0,7.333
19400,19.400,319.9,-136952.500,7.858,9.247,2,0,7.448
19450,19.450,306.5,-136952.141,7.853,9.315,2,0,7.510
19500,19.500,307.9,-136952.219,7.810,9.263,2,0,7.666
19550,19.550,320.0,-136952.797,7.740,9.215,2,0,7.739
19600,19.600,317.1,-136952.938,7.760,9.210,2,0,7.760
19650,19.650,301.7,-136952.719,7.679,9.200,2,0,7.975
19700,19.700,321.8,-136952.875,7.817,9.308,2,0,7.861
19750,19.750,311.6,-136952.547,7.819,9.297,2,0,7.860
19800,19.800,312.1,-136952.891,7.940,9.370,2,0,7.684
19850,19.850,306.0,-136952.562,8.072,9.451,2,0,7.609
19900,19.900,310.5,-136953.203,7.928,9.333,2,0,7.644
19950,19.950,293.9,-136953.062,8.037,9.404,2,0,7.441
20000,20.000,282.4,-136952.281,7.999,9.301,2,0,7.172
20000,20.000,282.4,-136952.281,7.999,9.301,2,0,7.172
20050,20.050,312.5,-136953.500,7.855,9.116,2,0,7.186
20100,20.100,318.8,-136952.984,8.060,9.330,2,0,6.981
20150,20.150,320.8,-136953.078,7.957,9.165,2,0,6.934
20200,20.200,322.4,-136953.125,7.837,9.098,2,0,6.953
20250,20.250,309.2,-136952.219,7.774,8.996,2,0,6.843
20300,20.300,310.8,-136952.141,7.546,8.757,2,0,6.955
20350,20.350,333.5,-136952.812,7.477,8.676,2,0,6.881
20400,20.400,298.5,-136952.219,7.538,8.726,2,0,6.871
20450,20.450,302.2,-136952.672,7.476,8.705,2,0,6.982
20500,20.500,290.2,-136952.781,7.487,8.720,2,0,7.083
20550,20.550,287.2,-136952.484,7.500,8.746,2,0,7.102
20600,20.600,303.5,-136953.031,7.725,8.922,2,0,6.939
20650,20.650,312.5,-136953.297,7.733,8.879,2,0,6.740
20700,20.700,291.9,-136952.984,7.806,8.978,2,0,6.777
