step,time_fs,Al_height_A,Al_Mg_slab_A,nCl_bonded,AlCl1_A,AlCl2_A,qAl_mulliken
490,245.0,3.203,3.240,2,2.188,2.299,0.4579
492,246.0,3.199,3.238,2,2.188,2.297,0.4589
494,247.0,3.195,3.236,2,2.188,2.294,0.4600
496,248.0,3.191,3.234,2,2.188,2.291,0.4616
498,249.0,3.187,3.232,2,2.189,2.289,0.4636
500,250.0,3.183,3.230,2,2.190,2.286,0.4664
502,251.0,3.179,3.228,2,2.191,2.283,0.4681
504,252.0,3.175,3.226,2,2.191,2.279,0.4698
506,253.0,3.171,3.224,2,2.193,2.276,0.4705
508,254.0,3.167,3.222,2,2.194,2.273,0.4720
510,255.0,3.163,3.220,2,2.195,2.270,0.4739
512,256.0,3.159,3.218,2,2.196,2.266,0.4759
514,257.0,3.155,3.216,2,2.196,2.262,0.4783
516,258.0,3.150,3.214,2,2.196,2.257,0.4805
518,259.0,3.147,3.212,2,2.197,2.253,0.4822
520,260.0,3.143,3.210,2,2.197,2.249,0.4837
522,261.0,3.139,3.208,2,2.198,2.245,0.4852
524,262.0,3.135,3.206,2,2.199,2.241,0.4865
526,263.0,3.131,3.204,2,2.200,2.237,0.4867
528,264.0,3.127,3.202,2,2.199,2.232,0.4853
530,265.0,3.124,3.200,2,2.198,2.227,0.4841
532,266.0,3.121,3.198,2,2.197,2.223,0.4834
534,267.0,3.118,3.196,2,2.197,2.219,0.4827
536,268.0,3.115,3.194,2,2.198,2.216,0.4824
538,269.0,3.113,3.192,2,2.198,2.213,0.4824
540,270.0,3.111,3.190,2,2.198,2.211,0.4823
542,271.0,3.109,3.188,2,2.197,2.208,0.4819
544,272.0,3.107,3.186,2,2.196,2.204,0.4815
546,273.0,3.106,3.184,2,2.194,2.201,0.4810
548,274.0,3.105,3.182,2,2.191,2.197,0.4806
550,275.0,3.104,3.180,2,2.189,2.194,0.4802
552,276.0,3.104,3.178,2,2.185,2.190,0.4801
554,277.0,3.104,3.176,2,2.181,2.186,0.4802
556,278.0,3.104,3.174,2,2.176,2.183,0.4801
558,279.0,3.104,3.172,2,2.170,2.179,0.4794
560,280.0,3.104,3.170,2,2.165,2.175,0.4776
562,281.0,3.104,3.168,2,2.159,2.171,0.4751
564,282.0,3.105,3.166,2,2.153,2.168,0.4717
566,283.0,3.105,3.164,2,2.148,2.167,0.4674
568,284.0,3.105,3.162,2,2.144,2.166,0.4631
570,285.0,3.104,3.160,2,2.141,2.167,0.4590
572,286.0,3.104,3.158,2,2.139,2.170,0.4547
574,287.0,3.104,3.156,2,2.138,2.174,0.4501
576,288.0,3.104,3.154,2,2.137,2.179,0.4459
578,289.0,3.104,3.152,2,2.137,2.183,0.4422
580,290.0,3.104,3.150,2,2.136,2.188,0.4388
582,291.0,3.103,3.148,2,2.135,2.193,0.4356
584,292.0,3.103,3.146,2,2.133,2.198,0.4325
586,293.0,3.103,3.144,2,2.132,2.203,0.4296
588,294.0,3.103,3.142,2,2.130,2.208,0.4265
590,295.0,3.103,3.140,2,2.128,2.212,0.4234
592,296.0,3.102,3.138,2,2.126,2.217,0.4209
594,297.0,3.102,3.136,2,2.124,2.222,0.4197
596,298.0,3.102,3.134,2,2.122,2.226,0.4198
598,299.0,3.102,3.132,2,2.121,2.231,0.4206
600,300.0,3.101,3.130,2,2.119,2.235,0.4218
602,301.0,3.101,3.128,2,2.118,2.239,0.4232
604,302.0,3.100,3.126,2,2.117,2.243,0.4242
606,303.0,3.100,3.124,2,2.117,2.247,0.4245
608,304.0,3.100,3.122,2,2.117,2.251,0.4240
610,305.0,3.099,3.120,2,2.117,2.254,0.4231
612,306.0,3.098,3.118,2,2.117,2.258,0.4219
614,307.0,3.097,3.116,2,2.118,2.260,0.4203
616,308.0,3.097,3.114,2,2.119,2.263,0.4186
618,309.0,3.096,3.112,2,2.121,2.265,0.4165
620,310.0,3.095,3.110,2,2.123,2.267,0.4141
622,311.0,3.094,3.108,2,2.125,2.268,0.4114
624,312.0,3.093,3.106,2,2.127,2.269,0.4086
626,313.0,3.091,3.104,2,2.130,2.269,0.4058
628,314.0,3.090,3.102,2,2.133,2.269,0.4029
630,315.0,3.088,3.100,2,2.136,2.268,0.3993
632,316.0,3.087,3.098,2,2.139,2.267,0.3957
634,317.0,3.086,3.096,2,2.142,2.264,0.3928
636,318.0,3.084,3.094,2,2.145,2.262,0.3900
638,319.0,3.083,3.092,2,2.148,2.258,0.3889
640,320.0,3.081,3.090,2,2.151,2.254,0.3887
642,321.0,3.080,3.088,2,2.155,2.251,0.3893
644,322.0,3.078,3.086,2,2.160,2.247,0.3901
646,323.0,3.076,3.084,2,2.165,2.245,0.3904
648,324.0,3.074,3.082,2,2.171,2.243,0.3901
650,325.0,3.072,3.080,2,2.177,2.242,0.3896
652,326.0,3.070,3.078,2,2.184,2.241,0.3882
654,327.0,3.068,3.076,2,2.191,2.241,0.3863
656,328.0,3.065,3.074,2,2.197,2.240,0.3842
658,329.0,3.063,3.072,2,2.204,2.239,0.3826
660,330.0,3.061,3.070,2,2.210,2.237,0.3815
662,331.0,3.059,3.068,2,2.216,2.234,0.3807
664,332.0,3.056,3.066,2,2.222,2.232,0.3798
666,333.0,3.054,3.064,2,2.227,2.229,0.3787
668,334.0,3.051,3.062,2,2.225,2.231,0.3771
670,335.0,3.049,3.060,2,2.222,2.235,0.3751
672,336.0,3.047,3.058,2,2.218,2.239,0.3727
674,337.0,3.044,3.056,2,2.214,2.243,0.3710
676,338.0,3.042,3.054,2,2.210,2.246,0.3683
678,339.0,3.040,3.052,2,2.206,2.248,0.3665
680,340.0,3.037,3.050,2,2.202,2.250,0.3658
682,341.0,3.035,3.048,2,2.199,2.252,0.3662
684,342.0,3.032,3.046,2,2.195,2.254,0.3675
686,343.0,3.030,3.044,2,2.192,2.255,0.3689
688,344.0,3.028,3.042,2,2.189,2.255,0.3699
690,345.0,3.025,3.040,2,2.186,2.256,0.3700
692,346.0,3.023,3.038,2,2.184,2.256,0.3691
694,347.0,3.020,3.036,2,2.183,2.256,0.3673
696,348.0,3.018,3.034,2,2.182,2.255,0.3647
698,349.0,3.015,3.032,2,2.182,2.255,0.3623
700,350.0,3.013,3.030,2,2.183,2.254,0.3593
702,351.0,3.010,3.028,2,2.185,2.253,0.3573
704,352.0,3.008,3.026,2,2.186,2.251,0.3564
706,353.0,3.005,3.024,2,2.188,2.249,0.3553
708,354.0,3.003,3.022,2,2.190,2.246,0.3542
710,355.0,3.000,3.020,2,2.193,2.244,0.3528
712,356.0,2.998,3.018,2,2.196,2.241,0.3519
714,357.0,2.995,3.016,2,2.200,2.237,0.3510
716,358.0,2.993,3.014,2,2.203,2.233,0.3499
718,359.0,2.991,3.012,2,2.206,2.229,0.3487
720,360.0,2.988,3.010,2,2.209,2.224,0.3482
722,361.0,2.986,3.008,2,2.213,2.218,0.3472
724,362.0,2.984,3.006,2,2.213,2.216,0.3479
726,363.0,2.982,3.004,2,2.208,2.221,0.3500
728,364.0,2.979,3.002,2,2.202,2.225,0.3534
730,365.0,2.977,3.000,2,2.197,2.230,0.3576
732,366.0,2.975,2.998,2,2.192,2.235,0.3620
734,367.0,2.973,2.996,2,2.186,2.240,0.3643
736,368.0,2.970,2.994,2,2.180,2.244,0.3650
738,369.0,2.968,2.992,2,2.175,2.248,0.3634
740,370.0,2.965,2.990,2,2.169,2.252,0.3616
742,371.0,2.963,2.988,2,2.164,2.256,0.3597
744,372.0,2.961,2.986,2,2.158,2.259,0.3575
746,373.0,2.958,2.984,2,2.153,2.262,0.3566
748,374.0,2.956,2.982,2,2.147,2.264,0.3569
750,375.0,2.954,2.980,2,2.142,2.266,0.3578
752,376.0,2.952,2.978,2,2.137,2.267,0.3597
754,377.0,2.950,2.976,2,2.133,2.269,0.3611
756,378.0,2.948,2.974,2,2.129,2.271,0.3623
758,379.0,2.945,2.972,2,2.126,2.272,0.3634
760,380.0,2.943,2.970,2,2.123,2.273,0.3645
762,381.0,2.941,2.968,2,2.120,2.273,0.3643
764,382.0,2.939,2.966,2,2.118,2.273,0.3638
766,383.0,2.937,2.964,2,2.116,2.273,0.3622
768,384.0,2.934,2.962,2,2.115,2.273,0.3619
770,385.0,2.932,2.960,2,2.115,2.272,0.3636
772,386.0,2.929,2.958,2,2.114,2.270,0.3661
774,387.0,2.927,2.956,2,2.114,2.268,0.3695
776,388.0,2.924,2.954,2,2.114,2.265,0.3730
778,389.0,2.921,2.952,2,2.115,2.262,0.3761
780,390.0,2.918,2.950,2,2.117,2.258,0.3784
782,391.0,2.915,2.948,2,2.119,2.255,0.3801
784,392.0,2.911,2.946,2,2.121,2.252,0.3817
786,393.0,2.908,2.944,2,2.124,2.249,0.3832
788,394.0,2.904,2.942,2,2.127,2.244,0.3848
790,395.0,2.901,2.940,2,2.131,2.239,0.3876
792,396.0,2.897,2.938,2,2.134,2.235,0.3905
794,397.0,2.893,2.936,2,2.139,2.230,0.3940
796,398.0,2.890,2.934,2,2.143,2.226,0.3987
798,399.0,2.886,2.932,2,2.148,2.220,0.4034
800,400.0,2.883,2.930,2,2.152,2.215,0.4079
802,401.0,2.880,2.928,2,2.156,2.209,0.4119
804,402.0,2.877,2.926,2,2.160,2.203,0.4150
806,403.0,2.874,2.924,2,2.164,2.197,0.4177
808,404.0,2.871,2.922,2,2.168,2.192,0.4210
810,405.0,2.868,2.920,2,2.173,2.187,0.4250
812,406.0,2.864,2.918,2,2.178,2.182,0.4301
814,407.0,2.861,2.916,2,2.179,2.183,0.4363
816,408.0,2.858,2.914,2,2.175,2.188,0.4431
818,409.0,2.854,2.912,2,2.171,2.193,0.4486
820,410.0,2.851,2.910,2,2.167,2.196,0.4529
822,411.0,2.848,2.908,2,2.164,2.200,0.4563
824,412.0,2.844,2.906,2,2.162,2.204,0.4572
826,413.0,2.841,2.904,2,2.160,2.207,0.4570
828,414.0,2.838,2.902,2,2.159,2.210,0.4563
830,415.0,2.835,2.900,2,2.158,2.213,0.4554
832,416.0,2.832,2.898,2,2.156,2.215,0.4546
834,417.0,2.829,2.896,2,2.155,2.215,0.4546
836,418.0,2.826,2.894,2,2.153,2.216,0.4558
838,419.0,2.823,2.892,2,2.152,2.215,0.4578
840,420.0,2.821,2.890,2,2.151,2.214,0.4599
842,421.0,2.818,2.888,2,2.151,2.213,0.4620
844,422.0,2.816,2.886,2,2.151,2.212,0.4639
846,423.0,2.814,2.884,2,2.152,2.210,0.4648
848,424.0,2.812,2.882,2,2.153,2.208,0.4650
850,425.0,2.810,2.880,2,2.155,2.206,0.4654
852,426.0,2.809,2.878,2,2.158,2.204,0.4659
854,427.0,2.807,2.876,2,2.161,2.202,0.4674
856,428.0,2.806,2.874,2,2.166,2.201,0.4703
858,429.0,2.804,2.872,2,2.171,2.199,0.4744
860,430.0,2.803,2.870,2,2.176,2.198,0.4789
862,431.0,2.802,2.868,2,2.182,2.197,0.4825
864,432.0,2.801,2.866,2,2.188,2.195,0.4847
866,433.0,2.800,2.864,2,2.193,2.193,0.4854
868,434.0,2.799,2.862,2,2.189,2.198,0.4843
870,435.0,2.798,2.860,2,2.185,2.201,0.4820
872,436.0,2.797,2.858,2,2.179,2.203,0.4788
874,437.0,2.796,2.856,2,2.173,2.205,0.4750
876,438.0,2.795,2.854,2,2.166,2.206,0.4722
878,439.0,2.794,2.852,2,2.160,2.208,0.4705
880,440.0,2.792,2.850,2,2.154,2.209,0.4698
882,441.0,2.790,2.848,2,2.149,2.211,0.4698
884,442.0,2.788,2.846,2,2.144,2.213,0.4698
886,443.0,2.786,2.844,2,2.141,2.216,0.4692
888,444.0,2.783,2.842,2,2.138,2.219,0.4681
890,445.0,2.781,2.840,2,2.136,2.222,0.4667
892,446.0,2.779,2.838,2,2.135,2.225,0.4651
894,447.0,2.776,2.836,2,2.135,2.228,0.4637
896,448.0,2.774,2.834,2,2.135,2.232,0.4632
898,449.0,2.771,2.832,2,2.137,2.235,0.4634
900,450.0,2.768,2.830,2,2.139,2.238,0.4646
902,451.0,2.765,2.828,2,2.141,2.241,0.4660
904,452.0,2.762,2.826,2,2.143,2.242,0.4663
906,453.0,2.759,2.824,2,2.145,2.242,0.4656
908,454.0,2.757,2.822,2,2.146,2.241,0.4638
