charge_depth_mAh_cm2,tau_s,gamma_ohm
0.06661,8.949940e-06,0.000000e+00
0.06661,1.004200e-05,0.000000e+00
0.06661,1.126731e-05,1.374075e-02
0.06661,1.264213e-05,5.402875e-02
0.06661,1.418470e-05,1.265855e-01
0.06661,1.591549e-05,2.320243e-01
0.06661,1.785748e-05,3.675379e-01
0.06661,2.003642e-05,5.283018e-01
0.06661,2.248123e-05,7.086011e-01
0.06661,2.522436e-05,9.027016e-01
0.06661,2.830220e-05,1.105485e+00
0.06661,3.175559e-05,1.312873e+00
0.06661,3.563035e-05,1.522075e+00
0.06661,3.997791e-05,1.731681e+00
0.06661,4.485596e-05,1.941637e+00
0.06661,5.032921e-05,2.153125e+00
0.06661,5.647030e-05,2.368382e+00
0.06661,6.336072e-05,2.590479e+00
0.06661,7.109190e-05,2.823082e+00
0.06661,7.976643e-05,3.070209e+00
0.06661,8.949940e-05,3.336012e+00
0.06661,1.004200e-04,3.624571e+00
0.06661,1.126731e-04,3.939737e+00
0.06661,1.264213e-04,4.284993e+00
0.06661,1.418470e-04,4.663372e+00
0.06661,1.591549e-04,5.077397e+00
0.06661,1.785748e-04,5.529056e+00
0.06661,2.003642e-04,6.019813e+00
0.06661,2.248123e-04,6.550626e+00
0.06661,2.522436e-04,7.121992e+00
0.06661,2.830220e-04,7.733992e+00
0.06661,3.175559e-04,8.386343e+00
0.06661,3.563035e-04,9.078448e+00
0.06661,3.997791e-04,9.809432e+00
0.06661,4.485596e-04,1.057818e+01
0.06661,5.032921e-04,1.138335e+01
0.06661,5.647030e-04,1.222339e+01
0.06661,6.336072e-04,1.309654e+01
0.06661,7.109190e-04,1.400078e+01
0.06661,7.976643e-04,1.493389e+01
0.06661,8.949940e-04,1.589337e+01
0.06661,1.004200e-03,1.687642e+01
0.06661,1.126731e-03,1.787999e+01
0.06661,1.264213e-03,1.890074e+01
0.06661,1.418470e-03,1.993505e+01
0.06661,1.591549e-03,2.097912e+01
0.06661,1.785748e-03,2.202898e+01
0.06661,2.003642e-03,2.308062e+01
0.06661,2.248123e-03,2.413009e+01
0.06661,2.522436e-03,2.517368e+01
0.06661,2.830220e-03,2.620808e+01
0.06661,3.175559e-03,2.723057e+01
0.06661,3.563035e-03,2.823928e+01
0.06661,3.997791e-03,2.923341e+01
0.06661,4.485596e-03,3.021344e+01
0.06661,5.032921e-03,3.118142e+01
0.06661,5.647030e-03,3.214122e+01
0.06661,6.336072e-03,3.309869e+01
0.06661,7.109190e-03,3.406191e+01
0.06661,7.976643e-03,3.504136e+01
0.06661,8.949940e-03,3.605003e+01
0.06661,1.004200e-02,3.710350e+01
0.06661,1.126731e-02,3.822001e+01
0.06661,1.264213e-02,3.942042e+01
0.06661,1.418470e-02,4.072813e+01
0.06661,1.591549e-02,4.216894e+01
0.06661,1.785748e-02,4.377085e+01
0.06661,2.003642e-02,4.556381e+01
0.06661,2.248123e-02,4.757939e+01
0.06661,2.522436e-02,4.985040e+01
0.06661,2.830220e-02,5.241050e+01
0.06661,3.175559e-02,5.529375e+01
0.06661,3.563035e-02,5.853412e+01
0.06661,3.997791e-02,6.216500e+01
0.06661,4.485596e-02,6.621872e+01
0.06661,5.032921e-02,7.072608e+01
0.06661,5.647030e-02,7.571581e+01
0.06661,6.336072e-02,8.121422e+01
0.06661,7.109190e-02,8.724473e+01
0.06661,7.976643e-02,9.382755e+01
0.06661,8.949940e-02,1.009794e+02
0.06661,1.004200e-01,1.087131e+02
0.06661,1.126731e-01,1.170379e+02
0.06661,1.264213e-01,1.259586e+02
0.06661,1.418470e-01,1.354763e+02
0.06661,1.591549e-01,1.455879e+02
0.06661,1.785748e-01,1.562866e+02
0.06661,2.003642e-01,1.675616e+02
0.06661,2.248123e-01,1.793990e+02
0.06661,2.522436e-01,1.917815e+02
0.06661,2.830220e-01,2.046889e+02
0.06661,3.175559e-01,2.180989e+02
0.06661,3.563035e-01,2.319867e+02
0.06661,3.997791e-01,2.463261e+02
0.06661,4.485596e-01,2.610897e+02
0.06661,5.032921e-01,2.762491e+02
0.06661,5.647030e-01,2.917756e+02
0.06661,6.336072e-01,3.076406e+02
0.06661,7.109190e-01,3.238156e+02
0.06661,7.976643e-01,3.402730e+02
0.06661,8.949940e-01,3.569859e+02
0.06661,1.004200e+00,3.739286e+02
0.06661,1.126731e+00,3.910769e+02
0.06661,1.264213e+00,4.084079e+02
0.06661,1.418470e+00,4.259003e+02
0.06661,1.591549e+00,4.435345e+02
0.06661,1.785748e+00,4.612925e+02
0.06661,2.003642e+00,4.791579e+02
0.06661,2.248123e+00,4.971158e+02
0.06661,2.522436e+00,5.151529e+02
0.06661,2.830220e+00,5.332574e+02
0.06661,3.175559e+00,5.514188e+02
0.06661,3.563035e+00,5.696276e+02
0.06661,3.997791e+00,5.878758e+02
0.06661,4.485596e+00,6.061562e+02
0.06661,5.032921e+00,6.244627e+02
0.06661,5.647030e+00,6.427900e+02
0.06661,6.336072e+00,6.611336e+02
0.06661,7.109190e+00,6.794896e+02
0.06661,7.976643e+00,6.978549e+02
0.06661,8.949940e+00,7.162269e+02
0.06661,1.004200e+01,7.346034e+02
0.06661,1.126731e+01,7.529829e+02
0.06661,1.264213e+01,7.713640e+02
0.06661,1.418470e+01,7.897459e+02
0.06661,1.591549e+01,8.081281e+02
0.09992,1.591549e-07,0.000000e+00
0.09992,1.785748e-07,0.000000e+00
0.09992,2.003642e-07,0.000000e+00
0.09992,2.248123e-07,0.000000e+00
0.09992,2.522436e-07,0.000000e+00
0.09992,2.830220e-07,0.000000e+00
0.09992,3.175559e-07,0.000000e+00
