charge_depth_mAh_cm2,tau_s,gamma_ohm
0.06661,3.563035e-05,1.323551e+00
0.06661,3.997791e-05,1.633555e+00
0.06661,4.485596e-05,1.971412e+00
0.06661,5.032921e-05,2.323317e+00
0.06661,5.647030e-05,2.672451e+00
0.06661,6.336072e-05,2.999916e+00
0.06661,7.109190e-05,3.285924e+00
0.06661,7.976643e-05,3.511192e+00
0.06661,8.949940e-05,3.658452e+00
0.06661,1.004200e-04,3.714026e+00
0.06661,1.126731e-04,3.669333e+00
0.06661,1.264213e-04,3.522277e+00
0.06661,1.418470e-04,3.278388e+00
0.06661,1.591549e-04,2.951661e+00
0.06661,1.785748e-04,2.565007e+00
0.06661,2.003642e-04,2.150270e+00
0.06661,2.248123e-04,1.747790e+00
0.06661,2.522436e-04,1.405496e+00
0.06661,2.830220e-04,1.177569e+00
0.06661,3.175559e-04,1.122712e+00
0.06661,3.563035e-04,1.302106e+00
0.06661,3.997791e-04,1.777156e+00
0.06661,4.485596e-04,2.607113e+00
0.06661,5.032921e-04,3.846704e+00
0.06661,5.647030e-04,5.543888e+00
0.06661,6.336072e-04,7.737834e+00
0.06661,7.109190e-04,1.045724e+01
0.06661,7.976643e-04,1.371904e+01
0.06661,8.949940e-04,1.752763e+01
0.06661,1.004200e-03,2.187455e+01
0.06661,1.126731e-03,2.673871e+01
0.06661,1.264213e-03,3.208713e+01
0.06661,1.418470e-03,3.787611e+01
0.06661,1.591549e-03,4.405286e+01
0.06661,1.785748e-03,5.055742e+01
0.06661,2.003642e-03,5.732488e+01
0.06661,2.248123e-03,6.428774e+01
0.06661,2.522436e-03,7.137835e+01
0.06661,2.830220e-03,7.853130e+01
0.06661,3.175559e-03,8.568582e+01
0.06661,3.563035e-03,9.278783e+01
0.06661,3.997791e-03,9.979193e+01
0.06661,4.485596e-03,1.066630e+02
0.06661,5.032921e-03,1.133774e+02
0.06661,5.647030e-03,1.199241e+02
0.06661,6.336072e-03,1.263051e+02
0.06661,7.109190e-03,1.325357e+02
0.06661,7.976643e-03,1.386444e+02
0.06661,8.949940e-03,1.446725e+02
0.06661,1.004200e-02,1.506730e+02
0.06661,1.126731e-02,1.567102e+02
0.06661,1.264213e-02,1.628579e+02
0.06661,1.418470e-02,1.691984e+02
0.06661,1.591549e-02,1.758207e+02
0.06661,1.785748e-02,1.828191e+02
0.06661,2.003642e-02,1.902912e+02
0.06661,2.248123e-02,1.983367e+02
0.06661,2.522436e-02,2.070551e+02
0.06661,2.830220e-02,2.165449e+02
0.06661,3.175559e-02,2.269012e+02
0.06661,3.563035e-02,2.382152e+02
0.06661,3.997791e-02,2.505722e+02
0.06661,4.485596e-02,2.640510e+02
0.06661,5.032921e-02,2.787224e+02
0.06661,5.647030e-02,2.946492e+02
0.06661,6.336072e-02,3.118847e+02
0.06661,7.109190e-02,3.304729e+02
0.06661,7.976643e-02,3.504479e+02
0.06661,8.949940e-02,3.718339e+02
0.06661,1.004200e-01,3.946451e+02
0.06661,1.126731e-01,4.188860e+02
0.06661,1.264213e-01,4.445518e+02
0.06661,1.418470e-01,4.716283e+02
0.06661,1.591549e-01,5.000933e+02
0.06661,1.785748e-01,5.299164e+02
0.06661,2.003642e-01,5.610603e+02
0.06661,2.248123e-01,5.934811e+02
0.06661,2.522436e-01,6.271295e+02
0.06661,2.830220e-01,6.619512e+02
0.06661,3.175559e-01,6.978884e+02
0.06661,3.563035e-01,7.348799e+02
0.06661,3.997791e-01,7.728625e+02
0.06661,4.485596e-01,8.117717e+02
0.06661,5.032921e-01,8.515422e+02
0.06661,5.647030e-01,8.921091e+02
0.06661,6.336072e-01,9.334082e+02
0.06661,7.109190e-01,9.753766e+02
0.06661,7.976643e-01,1.017954e+03
0.06661,8.949940e-01,1.061081e+03
0.06661,1.004200e+00,1.104703e+03
0.06661,1.126731e+00,1.148767e+03
0.06661,1.264213e+00,1.193225e+03
0.06661,1.418470e+00,1.238029e+03
0.06661,1.591549e+00,1.283139e+03
0.06661,1.785748e+00,1.328516e+03
0.06661,2.003642e+00,1.374124e+03
0.06661,2.248123e+00,1.419932e+03
0.06661,2.522436e+00,1.465911e+03
0.06661,2.830220e+00,1.512036e+03
0.06661,3.175559e+00,1.558283e+03
0.06661,3.563035e+00,1.604633e+03
0.06661,3.997791e+00,1.651068e+03
0.06661,4.485596e+00,1.697573e+03
0.06661,5.032921e+00,1.744135e+03
0.06661,5.647030e+00,1.790741e+03
0.06661,6.336072e+00,1.837383e+03
0.06661,7.109190e+00,1.884052e+03
0.06661,7.976643e+00,1.930741e+03
0.06661,8.949940e+00,1.977445e+03
0.06661,1.004200e+01,2.024158e+03
0.06661,1.126731e+01,2.070878e+03
0.06661,1.264213e+01,2.117601e+03
0.06661,1.418470e+01,2.164327e+03
0.06661,1.591549e+01,2.211052e+03
0.09992,1.591549e-07,0.000000e+00
0.09992,1.785748e-07,0.000000e+00
0.09992,2.003642e-07,0.000000e+00
0.09992,2.248123e-07,0.000000e+00
0.09992,2.522436e-07,0.000000e+00
0.09992,2.830220e-07,0.000000e+00
0.09992,3.175559e-07,0.000000e+00
0.09992,3.563035e-07,0.000000e+00
0.09992,3.997791e-07,0.000000e+00
0.09992,4.485596e-07,0.000000e+00
0.09992,5.032921e-07,0.000000e+00
0.09992,5.647030e-07,0.000000e+00
0.09992,6.336072e-07,0.000000e+00
0.09992,7.109190e-07,0.000000e+00
0.09992,7.976643e-07,0.000000e+00
0.09992,8.949940e-07,0.000000e+00
0.09992,1.004200e-06,0.000000e+00
0.09992,1.126731e-06,0.000000e+00
0.09992,1.264213e-06,0.000000e+00
0.09992,1.418470e-06,0.000000e+00
0.09992,1.591549e-06,0.000000e+00
0.09992,1.785748e-06,0.000000e+00
0.09992,2.003642e-06,0.000000e+00
0.09992,2.248123e-06,0.000000e+00
0.09992,2.522436e-06,0.000000e+00
0.09992,2.830220e-06,0.000000e+00
0.09992,3.175559e-06,0.000000e+00
0.09992,3.563035e-06,0.000000e+00
0.09992,3.997791e-06,0.000000e+00
0.09992,4.485596e-06,4.824642e-04
0.09992,5.032921e-06,1.185651e-02
0.09992,5.647030e-06,3.675188e-02
0.09992,6.336072e-06,7.276782e-02
0.09992,7.109190e-06,1.148650e-01
0.09992,7.976643e-06,1.573437e-01
0.09992,8.949940e-06,1.953756e-01
0.09992,1.004200e-05,2.260768e-01
0.09992,1.126731e-05,2.491332e-01
0.09992,1.264213e-05,2.670059e-01
0.09992,1.418470e-05,2.847628e-01
0.09992,1.591549e-05,3.095945e-01
0.09992,1.785748e-05,3.500844e-01
0.09992,2.003642e-05,4.153102e-01
0.09992,2.248123e-05,5.138584e-01
0.09992,2.522436e-05,6.528328e-01
0.09992,2.830220e-05,8.369376e-01
