d_nm,rho_anionAl_nm-3,rho_catMg_nm-3,enrich_anion,enrich_cation
3.629999999999999893e+00,2.579133254761902805e-01,4.989674102457851701e-01,1.026038926880589175e+00,9.955151035483444932e-01
3.649999999999999911e+00,2.646570217588283813e-01,4.977112315264702325e-01,1.052866912151499079e+00,9.930088378841841479e-01
3.669999999999999929e+00,2.605579122536954007e-01,4.864717377220733052e-01,1.036559705418200972e+00,9.705843556259068361e-01
3.689999999999999947e+00,2.584422428316913156e-01,4.993640982624109048e-01,1.028143082588111712e+00,9.963065558633424912e-01
3.709999999999999964e+00,2.665082325030820320e-01,4.972484288404068198e-01,1.060231457127827515e+00,9.920854768500197984e-01
3.729999999999999982e+00,2.597645362204438757e-01,4.959261354516542042e-01,1.033403471856917388e+00,9.894473024666929906e-01
3.750000000000000000e+00,2.688883606028366624e-01,5.080251199587403343e-01,1.069700157811678043e+00,1.013586598074132761e+00
3.770000000000000018e+00,2.633347283700758212e-01,5.014797676844150454e-01,1.047606522882693403e+00,1.000527634876665406e+00
3.790000000000000036e+00,2.630041550228877090e-01,5.148349309108161131e-01,1.046291425565492039e+00,1.027173196148265522e+00
3.810000000000000053e+00,2.633347283700758212e-01,5.104052480584949647e-01,1.047606522882693403e+00,1.018335311964120748e+00
3.830000000000000071e+00,2.504423678297382216e-01,5.000252449567872404e-01,9.963177275118360043e-01,9.976256430550058951e-01
3.849999999999999645e+00,2.522935785739918169e-01,5.114630827694970350e-01,1.003682272488164218e+00,1.020445851470782150e+00
3.869999999999999662e+00,2.522935785739918169e-01,5.141076695470021551e-01,1.003682272488164218e+00,1.025722200237435544e+00
3.889999999999999680e+00,2.458143409691041781e-01,5.133804081831883082e-01,9.779063650710152489e-01,1.024271204326606011e+00
3.909999999999999698e+00,2.477977810522330460e-01,4.992318689235356599e-01,9.857969489742240965e-01,9.960427384250097882e-01
3.929999999999999716e+00,2.454837676219160381e-01,5.072317439254887539e-01,9.765912677538138853e-01,1.012003693444136543e+00
3.949999999999999734e+00,2.364921725783984963e-01,5.051160745034846133e-01,9.408206207259337539e-01,1.007782614430813739e+00
3.969999999999999751e+00,2.353682231979588035e-01,5.035293224369815634e-01,9.363492898474486958e-01,1.004616805170821747e+00
3.989999999999999769e+00,2.374177779505253216e-01,5.146365869025032458e-01,9.445028932140979716e-01,1.026777469990766356e+00
4.009999999999999787e+00,2.496489917964866412e-01,5.044549278091083888e-01,9.931614939505523099e-01,1.006463527239150446e+00
