E_minus_Ef_eV,totalDOS,pdos_Al,pdos_Mg
2.260,7.66672,4.46694,3.19978
2.280,8.90200,5.17597,3.72603
2.300,10.11511,5.86793,4.24718
2.320,11.30192,6.54151,4.76040
2.340,12.47897,7.20902,5.26995
2.360,13.67645,7.89252,5.78393
2.380,14.92518,8.61623,6.30894
2.400,16.24166,9.39732,6.84434
2.420,17.61567,10.23769,7.37798
2.440,19.00456,11.11927,7.88529
2.460,20.33616,12.00413,8.33203
2.480,21.51923,12.83903,8.68020
2.500,22.45808,13.56299,8.89509
2.520,23.06706,14.11551,8.95155
2.540,23.28142,14.44370,8.83771
2.560,23.06306,14.50747,8.55558
2.580,22.40182,14.28271,8.11911
2.600,21.31410,13.76326,7.55084
2.620,19.84076,12.96216,6.87861
2.640,18.04489,11.91196,6.13293
2.660,16.00904,10.66363,5.34541
2.680,13.83078,9.28315,4.54762
2.700,11.61539,7.84554,3.76985
2.720,9.46637,6.42685,3.03951
2.740,7.47483,5.09560,2.37923
2.760,5.71038,3.90535,1.80503
2.780,4.21538,2.89016,1.32522
2.800,3.00387,2.06350,0.94037
2.820,2.06498,1.42060,0.64438
2.840,1.36965,0.94323,0.42642
2.860,0.87878,0.60552,0.27325
2.880,0.55125,0.37971,0.17154
2.900,0.35060,0.24084,0.10976
2.920,0.25004,0.17036,0.07969
2.940,0.23601,0.15857,0.07744
2.960,0.31077,0.20643,0.10434
2.980,0.49446,0.32691,0.16755
3.000,0.82642,0.54596,0.28046
3.020,1.36522,0.90256,0.46266
3.040,2.18596,1.44711,0.73885
3.060,3.37340,2.23707,1.13633
3.080,5.00961,3.32895,1.68066
3.100,7.15632,4.76677,2.38955
3.120,9.83341,6.56770,3.26571
3.140,12.99778,8.70773,4.29006
3.160,16.52812,11.11074,5.41738
3.180,20.22147,13.64523,6.57624
3.200,23.80638,16.13172,7.67465
3.220,26.97346,18.36203,8.61143
3.240,29.41985,20.12823,9.29162
3.260,30.89938,21.25638,9.64300
3.280,31.26747,21.63777,9.62970
3.300,30.51044,21.25070,9.25974
3.320,28.75157,20.16713,8.58444
3.340,26.23251,18.54272,7.68979
3.360,23.27410,16.59206,6.68204
3.380,20.22521,14.55457,5.67064
3.400,17.41035,12.65799,4.75236
3.420,15.08569,11.08637,3.99933
3.440,13.41019,9.95754,3.45265
3.460,12.43490,9.31319,3.12170
3.480,12.10985,9.12165,2.98819
3.500,12.30547,9.29184,3.01362
3.520,12.84374,9.69535,3.14839
3.540,13.53370,10.19259,3.34111
3.560,14.20575,10.65878,3.54697
3.580,14.73949,11.00542,3.73407
3.600,15.08120,11.19401,3.88720
3.620,15.24833,11.23976,4.00857
3.640,15.32084,11.20509,4.11576
3.660,15.42103,11.18409,4.23694
3.680,15.68538,11.28101,4.40437
3.700,16.23321,11.58647,4.64674
3.720,17.13738,12.15554,4.98184
3.740,18.40227,12.99181,5.41046
3.760,19.95395,14.04077,5.91318
3.780,21.64560,15.19460,6.45100
3.800,23.27917,16.30866,6.97050
3.820,24.64083,17.22758,7.41325
3.840,25.54404,17.81620,7.72784
3.860,25.87126,17.98903,7.88224
3.880,25.60433,17.73123,7.87310
3.900,24.83494,17.10546,7.72948
3.920,23.75119,16.24205,7.50914
3.940,22.60141,15.31378,7.28763
3.960,21.64273,14.50052,7.14221
3.980,21.08545,13.95143,7.13402
4.000,21.04606,13.75312,7.29294
4.020,21.51970,13.91113,7.60857
4.040,22.37866,14.34851,8.03014
4.060,23.39757,14.92217,8.47541
4.080,24.29963,15.45278,8.84685
4.100,24.81356,15.76193,9.05162
4.120,24.72862,15.70799,9.02064
4.140,23.93566,15.21306,8.72260
4.160,22.44597,14.27589,8.17008
4.180,20.38547,12.96871,7.41676
4.200,17.96739,11.42036,6.54703
4.220,15.45133,9.79043,5.66091
4.240,13.09839,8.24086,4.85753
4.260,11.13109,6.91063,4.22046
4.280,9.70443,5.89760,3.80683
4.300,8.89025,5.24907,3.64118
4.320,8.67495,4.96087,3.71408
4.340,8.96827,4.98333,3.98494
4.360,9.62072,5.23234,4.38838
4.380,10.44711,5.60356,4.84354
4.400,11.25362,5.98827,5.26535
4.420,11.86543,6.28888,5.57655
4.440,12.15129,6.43257,5.71873
4.460,12.04122,6.38076,5.66047
4.480,11.53432,6.13324,5.40107
4.500,10.69517,5.72603,4.96914
4.520,9.63995,5.22350,4.41645
4.540,8.51520,4.70656,3.80864
4.560,7.47394,4.25900,3.21494
4.580,6.65357,3.95479,2.69877
4.600,6.15898,3.84805,2.31093
4.620,6.05279,3.96710,2.08569
4.640,6.35254,4.31297,2.03956
4.660,7.03399,4.86197,2.17203
4.680,8.03874,5.57144,2.46730
4.700,9.28449,6.38771,2.89677
4.720,10.67655,7.25460,3.42196
4.740,12.11893,8.12094,3.99799
4.760,13.52349,8.94580,4.57769
4.780,14.81600,9.70007,5.11593
4.800,15.93822,10.36451,5.57371
4.820,16.84619,10.92493,5.92126
4.840,17.50626,11.36654,6.13972
4.860,17.89111,11.66983,6.22128
4.880,17.97816,11.80987,6.16829
4.900,17.75185,11.76015,5.99171
4.920,17.20947,11.49985,5.70962
4.940,16.36838,11.02249,5.34590
4.960,15.27133,10.34262,4.92871
4.980,13.98656,9.49794,4.48862
5.000,12.60123,8.54554,4.05569
5.020,11.20897,7.55289,3.65608
5.040,9.89447,6.58607,3.30839
5.060,8.71965,5.69858,3.02107
5.080,7.71539,4.92379,2.79159
5.100,6.88105,4.27295,2.60809
5.120,6.19200,3.73888,2.45312
5.140,5.61268,3.30382,2.30886
5.160,5.11184,2.94926,2.16258
5.180,4.67623,2.66510,2.01114
5.200,4.32011,2.45636,1.86375
5.220,4.08929,2.34648,1.74281
5.240,4.05987,2.37706,1.68281
5.260,4.33234,2.60439,1.72795
5.280,5.02202,3.09339,1.92864
5.300,6.24621,3.90928,2.33693
5.320,8.10834,5.10738,3.00096
5.340,10.67956,6.72163,3.95793
5.360,13.97897,8.75289,5.22608
5.380,17.95528,11.15895,6.79633
5.400,22.47414,13.84868,8.62547
5.420,27.31586,16.68285,10.63301
5.440,32.18725,19.48345,12.70380
5.460,36.74911,22.05155,14.69756
5.480,40.65654,24.19160,16.46494
5.500,43.60550,25.73810,17.86741
5.520,45.37605,26.57891,18.79714
5.540,45.86251,26.67024,19.19227
5.560,45.08359,26.03966,19.04393
5.580,43.17038,24.77676,18.39361
5.600,40.33634,23.01429,17.32206
5.620,36.83762,20.90468,15.93294
5.640,32.93389,18.59792,14.33597
5.660,28.85825,16.22515,12.63310
5.680,24.80047,13.89027,10.91020
5.700,20.90333,11.66900,9.23433
5.720,17.26796,9.61291,7.65505
5.740,13.96281,7.75524,6.20757
5.760,11.03175,6.11598,4.91577
5.780,8.49902,4.70495,3.79407
5.800,6.37121,3.52299,2.84823
5.820,4.63776,2.56219,2.07557
5.840,3.27196,1.80640,1.46556
5.860,2.23359,1.23249,1.00110
5.880,1.47334,0.81265,0.66069
5.900,0.93816,0.51729,0.42087
5.920,0.57654,0.31778,0.25876
5.940,0.34269,0.18875,0.15394
5.960,0.19910,0.10943,0.08967
5.980,0.11770,0.06421,0.05349
6.000,0.07986,0.04265,0.03721
6.020,0.07592,0.03911,0.03681
6.040,0.10474,0.05242,0.05232
6.060,0.17353,0.08571,0.08782
6.080,0.29797,0.14630,0.15168
6.100,0.50228,0.24560,0.25668
6.120,0.81850,0.39860,0.41990
6.140,1.28438,0.62261,0.66177
6.160,1.93904,0.93490,1.00414
6.180,2.81619,1.34917,1.46702
6.200,3.93532,1.87113,2.06419
6.220,5.29225,2.49395,2.79830
6.240,6.85112,3.19478,3.65634
6.260,8.54050,3.93360,4.60690
6.280,10.25570,4.65561,5.60009
6.300,11.86839,5.29728,6.57111
6.320,13.24261,5.79559,7.44702
6.340,14.25479,6.09868,8.15611
6.360,14.81348,6.17558,8.63790
6.380,14.87503,6.02288,8.85215
6.400,14.45174,5.66673,8.78502
6.420,13.61127,5.15985,8.45142
6.440,12.46810,4.57470,7.89341
6.460,11.16951,3.99442,7.17509
6.480,9.87899,3.50367,6.37533
6.500,8.76016,3.18079,5.57936
6.520,7.96274,3.09198,4.87076
6.540,7.61144,3.28711,4.32432
6.560,7.79726,3.79666,4.00060
6.580,8.57089,4.62895,3.94195
6.600,9.93762,5.76769,4.16993
6.620,11.85413,7.17025,4.68388
6.640,14.22790,8.76771,5.46019
6.660,16.92014,10.46755,6.45260
6.680,19.75345,12.15980,7.59365
6.700,22.52463,13.72643,8.79820
6.720,25.02270,15.05326,9.96945
6.740,27.05131,16.04316,11.00816
6.760,28.45327,16.62878,11.82449
6.780,29.13417,16.78299,12.35118
6.800,29.08073,16.52515,12.55557
6.820,28.36897,15.92153,12.44744
6.840,27.15849,15.07865,12.07984
6.860,25.67092,14.12941,11.54151
6.880,24.15428,13.21316,10.94111
6.900,22.83898,12.45268,10.38630
6.920,21.89416,11.93229,9.96187
6.940,21.39432,11.68201,9.71232
6.960,21.30493,11.67173,9.63320
6.980,21.49130,11.81760,9.67370
7.000,21.74973,11.99981,9.74992
7.020,21.85403,12.08828,9.76575
7.040,21.60664,11.97034,9.63630
7.060,20.88242,11.57418,9.30824
7.080,19.65545,10.88288,8.77258
7.100,18.00395,9.93649,8.06746
7.120,16.09377,8.82256,7.27120
7.140,14.14638,7.65846,6.48792
7.160,12.39945,6.57003,5.82942
7.180,11.06853,5.67154,5.39699
7.200,10.31634,5.05012,5.26622
7.220,10.23288,4.75651,5.47637
7.240,10.82708,4.80196,6.02511
7.260,12.02864,5.16016,6.86848
7.280,13.69821,5.77262,7.92559
7.300,15.64398,6.55631,9.08767
7.320,17.64315,7.41277,10.23038
7.340,19.46653,8.23814,11.22839
7.360,20.90422,8.93370,11.97051
7.380,21.78965,9.41638,12.37327
7.400,22.01908,9.62798,12.39110
7.420,21.56366,9.54215,12.02151
7.440,20.47240,9.16782,11.30459
7.460,18.86537,8.54837,10.31700
7.480,16.91829,7.75647,9.16182
7.500,14.84090,6.88520,7.95571
7.520,12.85211,6.03666,6.81545
7.540,11.15514,5.30966,5.84548
7.560,9.91545,4.78798,5.12747
7.580,9.24319,4.53037,4.71282
7.600,9.18169,4.56340,4.61829
7.620,9.70288,4.87780,4.82508
7.640,10.71059,5.42890,5.28170
